🕘️更新时间,#genre#
2026-05-23 19:13:39,http://cdn6.163189.xyz/163189/fhzw$订阅源

🌊港·澳·台,#genre#
凤凰中文,http://cdn6.163189.xyz/163189/fhzw$订阅源
凤凰中文,https://cdn6.163189.xyz/163189/fhzw$订阅源
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$订阅源
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx$订阅源
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx$订阅源
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$订阅源
凤凰香港,http://cdn6.163189.xyz/163189/fhhk$订阅源
凤凰香港,https://cdn6.163189.xyz/163189/fhhk$订阅源
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2$订阅源
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$订阅源
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$LR•IPV4『线路8』
纬来体育,https://epg.pw/stream/ab6df63b64d0cc44a1f4f029ed847a26fa54a7aebd455578fb05a63f02c22f4b.m3u8$订阅源
J2,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2$订阅源
Viutv,http://php.jdshipin.com:8880/PLTV/iptv.php?id=viutv$订阅源
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw$订阅源

🎬电影频道,#genre#
NewTV惊悚悬疑,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010077$订阅源
NewTV动作电影,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010003$订阅源
黑莓电影,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010073$订阅源
黑莓电影,https://epg.pw/stream/ffcb6572863f0745a7369fbd9d901f1dfd0ab8fab8bad8bebb4e01c90b303c47.m3u8$订阅源
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2$订阅源
天映经典,https://classicarts.akamaized.net/hls/live/1024257/CAS/master.m3u8$订阅源
天映经典,https://o11.163189.xyz/stream/live/ccm/$订阅源
天映经典,https://epg.pw/stream/cb817875cf26eb683af274dd8cdf7f559a71353d9565c32447c8d98894bc8095.ctv$订阅源
无线星河,https://cdn6.163189.xyz/163189/tvbxh$订阅源
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe$订阅源
